id	original_sentence	auxiliary_sentence	label
3	parts of the areas i ' ve named are rough but location - 1 has great transport connections and it ' s fairly lively with a wide variety of nationalities hi , i ' m 22 years old and i ' m a girl with some problems in my country in the place where i live ( i ' m italian ) there are bad people , they caused me so many problems , i passed all my days closed at home because of the fear to go out it ' s so terrible my idea is to come in london to begin a new life with my boyfriend ( if he will agree with me about that i ' ve some doubts )	what do you think of the transit location of location - 1 ?	Positive
4	sometimes i have called my sister at lunch time , and it ' s raining in location - 1 , but not in location - 2	what do you think of the general of location - 1 ?	None
4	sometimes i have called my sister at lunch time , and it ' s raining in location - 1 , but not in location - 2	what do you think of the price of location - 1 ?	None
4	sometimes i have called my sister at lunch time , and it ' s raining in location - 1 , but not in location - 2	what do you think of the safety of location - 1 ?	None
4	sometimes i have called my sister at lunch time , and it ' s raining in location - 1 , but not in location - 2	what do you think of the transit location of location - 1 ?	None
5	location - 1 is believed to have been named after tota , a farmer ; hence tota ' s hamlet became location - 1	what do you think of the general of location - 1 ?	None
5	location - 1 is believed to have been named after tota , a farmer ; hence tota ' s hamlet became location - 1	what do you think of the price of location - 1 ?	None
5	location - 1 is believed to have been named after tota , a farmer ; hence tota ' s hamlet became location - 1	what do you think of the safety of location - 1 ?	None
5	location - 1 is believed to have been named after tota , a farmer ; hence tota ' s hamlet became location - 1	what do you think of the transit location of location - 1 ?	None
6	location - 1 tube	what do you think of the general of location - 1 ?	None
6	location - 1 tube	what do you think of the price of location - 1 ?	None
6	location - 1 tube	what do you think of the safety of location - 1 ?	None
6	location - 1 tube	what do you think of the transit location of location - 1 ?	None
7	location - 2 when i was in london in the 1980 ' s , the place to be was in the developing location - 1 area	what do you think of the general of location - 1 ?	None
7	location - 2 when i was in london in the 1980 ' s , the place to be was in the developing location - 1 area	what do you think of the price of location - 1 ?	None
7	location - 2 when i was in london in the 1980 ' s , the place to be was in the developing location - 1 area	what do you think of the safety of location - 1 ?	None
7	location - 2 when i was in london in the 1980 ' s , the place to be was in the developing location - 1 area	what do you think of the transit location of location - 1 ?	None
8	look at somewhere like location - 2 which is about half an hour from location - 1 so mabye if you have to travel at the other and and in central london it may take an hour ( without delays )	what do you think of the general of location - 1 ?	None
8	look at somewhere like location - 2 which is about half an hour from location - 1 so mabye if you have to travel at the other and and in central london it may take an hour ( without delays )	what do you think of the price of location - 1 ?	None
8	look at somewhere like location - 2 which is about half an hour from location - 1 so mabye if you have to travel at the other and and in central london it may take an hour ( without delays )	what do you think of the safety of location - 1 ?	None
8	look at somewhere like location - 2 which is about half an hour from location - 1 so mabye if you have to travel at the other and and in central london it may take an hour ( without delays )	what do you think of the transit location of location - 1 ?	None
9	i used to live all over location - 1 and for me it was perfect	what do you think of the general of location - 1 ?	Positive
9	i used to live all over location - 1 and for me it was perfect	what do you think of the price of location - 1 ?	None
9	i used to live all over location - 1 and for me it was perfect	what do you think of the safety of location - 1 ?	None
9	i used to live all over location - 1 and for me it was perfect	what do you think of the transit location of location - 1 ?	None
10	steer clear of location - 1	what do you think of the general of location - 1 ?	Negative
10	steer clear of location - 1	what do you think of the price of location - 1 ?	None
10	steer clear of location - 1	what do you think of the safety of location - 1 ?	None
10	steer clear of location - 1	what do you think of the transit location of location - 1 ?	None
11	can recommend location - 1 in south london	what do you think of the general of location - 1 ?	Positive
11	can recommend location - 1 in south london	what do you think of the price of location - 1 ?	None
11	can recommend location - 1 in south london	what do you think of the safety of location - 1 ?	None
11	can recommend location - 1 in south london	what do you think of the transit location of location - 1 ?	None
12	the shopping in location - 1 has always been good	what do you think of the general of location - 1 ?	None
12	the shopping in location - 1 has always been good	what do you think of the price of location - 1 ?	None
12	the shopping in location - 1 has always been good	what do you think of the safety of location - 1 ?	None
12	the shopping in location - 1 has always been good	what do you think of the transit location of location - 1 ?	None
13	location - 1 is in my opinion is alot nicer than location - 1	what do you think of the general of location - 1 ?	Positive
13	location - 1 is in my opinion is alot nicer than location - 1	what do you think of the price of location - 1 ?	None
13	location - 1 is in my opinion is alot nicer than location - 1	what do you think of the safety of location - 1 ?	None
13	location - 1 is in my opinion is alot nicer than location - 1	what do you think of the transit location of location - 1 ?	None
14	i come from same area as david and have to agree if going to live in suburbia then location - 1 area is good but expensive	what do you think of the general of location - 1 ?	Positive
14	i come from same area as david and have to agree if going to live in suburbia then location - 1 area is good but expensive	what do you think of the price of location - 1 ?	Negative
14	i come from same area as david and have to agree if going to live in suburbia then location - 1 area is good but expensive	what do you think of the safety of location - 1 ?	None
14	i come from same area as david and have to agree if going to live in suburbia then location - 1 area is good but expensive	what do you think of the transit location of location - 1 ?	None
15	location - 1 , where there is an enormous westfield shopping centre	what do you think of the general of location - 1 ?	None
15	location - 1 , where there is an enormous westfield shopping centre	what do you think of the price of location - 1 ?	None
15	location - 1 , where there is an enormous westfield shopping centre	what do you think of the safety of location - 1 ?	None
15	location - 1 , where there is an enormous westfield shopping centre	what do you think of the transit location of location - 1 ?	None
16	it depends where in location - 1 your going to live as there are some council astates there i would not live in	what do you think of the general of location - 1 ?	None
16	it depends where in location - 1 your going to live as there are some council astates there i would not live in	what do you think of the price of location - 1 ?	None
16	it depends where in location - 1 your going to live as there are some council astates there i would not live in	what do you think of the safety of location - 1 ?	None
16	it depends where in location - 1 your going to live as there are some council astates there i would not live in	what do you think of the transit location of location - 1 ?	None
17	none location - 1	what do you think of the general of location - 1 ?	None
17	none location - 1	what do you think of the price of location - 1 ?	None
17	none location - 1	what do you think of the safety of location - 1 ?	None
17	none location - 1	what do you think of the transit location of location - 1 ?	None
18	it ' s in location - 1	what do you think of the general of location - 1 ?	None
18	it ' s in location - 1	what do you think of the price of location - 1 ?	None
18	it ' s in location - 1	what do you think of the safety of location - 1 ?	None
18	it ' s in location - 1	what do you think of the transit location of location - 1 ?	None
19	location - 1 is not safe 100x 100 but is very nice restaurant cofe '  shop and park	what do you think of the general of location - 1 ?	None
19	location - 1 is not safe 100x 100 but is very nice restaurant cofe '  shop and park	what do you think of the price of location - 1 ?	None
19	location - 1 is not safe 100x 100 but is very nice restaurant cofe '  shop and park	what do you think of the safety of location - 1 ?	Negative
19	location - 1 is not safe 100x 100 but is very nice restaurant cofe '  shop and park	what do you think of the transit location of location - 1 ?	None
20	nw 5 . location - 1	what do you think of the general of location - 1 ?	None
20	nw 5 . location - 1	what do you think of the price of location - 1 ?	None
20	nw 5 . location - 1	what do you think of the safety of location - 1 ?	None
20	nw 5 . location - 1	what do you think of the transit location of location - 1 ?	None
21	north of the river thames from the river lea in the east to the river colne in the west was the county of location - 1	what do you think of the general of location - 1 ?	None
21	north of the river thames from the river lea in the east to the river colne in the west was the county of location - 1	what do you think of the price of location - 1 ?	None
21	north of the river thames from the river lea in the east to the river colne in the west was the county of location - 1	what do you think of the safety of location - 1 ?	None
21	north of the river thames from the river lea in the east to the river colne in the west was the county of location - 1	what do you think of the transit location of location - 1 ?	None
22	the only downside is that the railway connections from location - 1 to london follow slow and often indirect lines	what do you think of the general of location - 1 ?	None
22	the only downside is that the railway connections from location - 1 to london follow slow and often indirect lines	what do you think of the price of location - 1 ?	None
22	the only downside is that the railway connections from location - 1 to london follow slow and often indirect lines	what do you think of the safety of location - 1 ?	None
22	the only downside is that the railway connections from location - 1 to london follow slow and often indirect lines	what do you think of the transit location of location - 1 ?	Negative
23	location - 1 area will offer you some idea of prices	what do you think of the general of location - 1 ?	None
23	location - 1 area will offer you some idea of prices	what do you think of the price of location - 1 ?	None
23	location - 1 area will offer you some idea of prices	what do you think of the safety of location - 1 ?	None
23	location - 1 area will offer you some idea of prices	what do you think of the transit location of location - 1 ?	None
24	location - 1 is quite industrial but has good transport links and many new flats being built , it lacks soul but it attracting new professionals due to the amenities and convenience	what do you think of the general of location - 1 ?	None
24	location - 1 is quite industrial but has good transport links and many new flats being built , it lacks soul but it attracting new professionals due to the amenities and convenience	what do you think of the price of location - 1 ?	None
24	location - 1 is quite industrial but has good transport links and many new flats being built , it lacks soul but it attracting new professionals due to the amenities and convenience	what do you think of the safety of location - 1 ?	None
24	location - 1 is quite industrial but has good transport links and many new flats being built , it lacks soul but it attracting new professionals due to the amenities and convenience	what do you think of the transit location of location - 1 ?	Positive
25	location - 1 would be the cheapest area to rent out of your list i like all the areas you listed	what do you think of the general of location - 1 ?	None
25	location - 1 would be the cheapest area to rent out of your list i like all the areas you listed	what do you think of the price of location - 1 ?	Positive
25	location - 1 would be the cheapest area to rent out of your list i like all the areas you listed	what do you think of the safety of location - 1 ?	None
25	location - 1 would be the cheapest area to rent out of your list i like all the areas you listed	what do you think of the transit location of location - 1 ?	None
26	from location - 1 ( at the trafalgar square end of the location - 2 ) you can cross the thames on the hungerford foot bridge and stroll along the banks ; there ' s also the london eye there , but you ' d probably need more time to get tickets and take a flight on it	what do you think of the general of location - 1 ?	None
26	from location - 1 ( at the trafalgar square end of the location - 2 ) you can cross the thames on the hungerford foot bridge and stroll along the banks ; there ' s also the london eye there , but you ' d probably need more time to get tickets and take a flight on it	what do you think of the price of location - 1 ?	None
26	from location - 1 ( at the trafalgar square end of the location - 2 ) you can cross the thames on the hungerford foot bridge and stroll along the banks ; there ' s also the london eye there , but you ' d probably need more time to get tickets and take a flight on it	what do you think of the safety of location - 1 ?	None
26	from location - 1 ( at the trafalgar square end of the location - 2 ) you can cross the thames on the hungerford foot bridge and stroll along the banks ; there ' s also the london eye there , but you ' d probably need more time to get tickets and take a flight on it	what do you think of the transit location of location - 1 ?	None
27	avoid location - 1 - it ' s super pricey	what do you think of the general of location - 1 ?	Negative
27	avoid location - 1 - it ' s super pricey	what do you think of the price of location - 1 ?	Negative
27	avoid location - 1 - it ' s super pricey	what do you think of the safety of location - 1 ?	None
27	avoid location - 1 - it ' s super pricey	what do you think of the transit location of location - 1 ?	None
28	avoid location - 1 unless you are totally hardcore	what do you think of the general of location - 1 ?	Negative
28	avoid location - 1 unless you are totally hardcore	what do you think of the price of location - 1 ?	None
28	avoid location - 1 unless you are totally hardcore	what do you think of the safety of location - 1 ?	None
28	avoid location - 1 unless you are totally hardcore	what do you think of the transit location of location - 1 ?	None
29	i would suggest the best place to live is location - 1 in south london	what do you think of the general of location - 1 ?	None
29	i would suggest the best place to live is location - 1 in south london	what do you think of the price of location - 1 ?	None
29	i would suggest the best place to live is location - 1 in south london	what do you think of the safety of location - 1 ?	None
29	i would suggest the best place to live is location - 1 in south london	what do you think of the transit location of location - 1 ?	None
30	the stereotype is an old one of location - 1 , the area is very trendy now	what do you think of the general of location - 1 ?	Positive
30	the stereotype is an old one of location - 1 , the area is very trendy now	what do you think of the price of location - 1 ?	None
30	the stereotype is an old one of location - 1 , the area is very trendy now	what do you think of the safety of location - 1 ?	None
30	the stereotype is an old one of location - 1 , the area is very trendy now	what do you think of the transit location of location - 1 ?	None
31	location - 1 has lots of nice shops and restaurants	what do you think of the general of location - 1 ?	None
31	location - 1 has lots of nice shops and restaurants	what do you think of the price of location - 1 ?	None
31	location - 1 has lots of nice shops and restaurants	what do you think of the safety of location - 1 ?	None
31	location - 1 has lots of nice shops and restaurants	what do you think of the transit location of location - 1 ?	None
32	at least location - 1 has a tube	what do you think of the general of location - 1 ?	None
32	at least location - 1 has a tube	what do you think of the price of location - 1 ?	None
32	at least location - 1 has a tube	what do you think of the safety of location - 1 ?	None
32	at least location - 1 has a tube	what do you think of the transit location of location - 1 ?	Positive
33	then it ' s a journey between zones 2 and 3 . if travel between location - 1 and location - 2 ( z4 )	what do you think of the general of location - 1 ?	None
33	then it ' s a journey between zones 2 and 3 . if travel between location - 1 and location - 2 ( z4 )	what do you think of the price of location - 1 ?	None
33	then it ' s a journey between zones 2 and 3 . if travel between location - 1 and location - 2 ( z4 )	what do you think of the safety of location - 1 ?	None
33	then it ' s a journey between zones 2 and 3 . if travel between location - 1 and location - 2 ( z4 )	what do you think of the transit location of location - 1 ?	None
34	and location - 1 is certainly overpriced ( although where isnt in london	what do you think of the general of location - 1 ?	None
34	and location - 1 is certainly overpriced ( although where isnt in london	what do you think of the price of location - 1 ?	Negative
34	and location - 1 is certainly overpriced ( although where isnt in london	what do you think of the safety of location - 1 ?	None
34	and location - 1 is certainly overpriced ( although where isnt in london	what do you think of the transit location of location - 1 ?	None
35	location - 1 is very cheap compared to any where else but i have been warned not to go there	what do you think of the general of location - 1 ?	Negative
35	location - 1 is very cheap compared to any where else but i have been warned not to go there	what do you think of the price of location - 1 ?	Positive
35	location - 1 is very cheap compared to any where else but i have been warned not to go there	what do you think of the safety of location - 1 ?	None
35	location - 1 is very cheap compared to any where else but i have been warned not to go there	what do you think of the transit location of location - 1 ?	None
36	then i decided to phone the location - 1 local studies library , 020 79746342 , that was coming up with the message that the phone number was out of service	what do you think of the general of location - 1 ?	None
36	then i decided to phone the location - 1 local studies library , 020 79746342 , that was coming up with the message that the phone number was out of service	what do you think of the price of location - 1 ?	None
36	then i decided to phone the location - 1 local studies library , 020 79746342 , that was coming up with the message that the phone number was out of service	what do you think of the safety of location - 1 ?	None
36	then i decided to phone the location - 1 local studies library , 020 79746342 , that was coming up with the message that the phone number was out of service	what do you think of the transit location of location - 1 ?	None
37	location - 1 has a large asian / indian community which makes it a colourful interesting area with lots of world food on show in the markets as well as being handy for the northern line tube	what do you think of the general of location - 1 ?	None
37	location - 1 has a large asian / indian community which makes it a colourful interesting area with lots of world food on show in the markets as well as being handy for the northern line tube	what do you think of the price of location - 1 ?	None
37	location - 1 has a large asian / indian community which makes it a colourful interesting area with lots of world food on show in the markets as well as being handy for the northern line tube	what do you think of the safety of location - 1 ?	None
37	location - 1 has a large asian / indian community which makes it a colourful interesting area with lots of world food on show in the markets as well as being handy for the northern line tube	what do you think of the transit location of location - 1 ?	Positive
38	location - 1 is also slightly cheaper	what do you think of the general of location - 1 ?	None
38	location - 1 is also slightly cheaper	what do you think of the price of location - 1 ?	Positive
38	location - 1 is also slightly cheaper	what do you think of the safety of location - 1 ?	None
38	location - 1 is also slightly cheaper	what do you think of the transit location of location - 1 ?	None
39	this is on the top of location - 1 hill and you may well see the teachers going from building to building in their black gowns , and the boys in their straw hats	what do you think of the general of location - 1 ?	None
39	this is on the top of location - 1 hill and you may well see the teachers going from building to building in their black gowns , and the boys in their straw hats	what do you think of the price of location - 1 ?	None
39	this is on the top of location - 1 hill and you may well see the teachers going from building to building in their black gowns , and the boys in their straw hats	what do you think of the safety of location - 1 ?	None
39	this is on the top of location - 1 hill and you may well see the teachers going from building to building in their black gowns , and the boys in their straw hats	what do you think of the transit location of location - 1 ?	None
40	just looking briefly , it shows me that the closer to the centre , the more dangerous the area , with location - 1 having the most crime	what do you think of the general of location - 1 ?	None
40	just looking briefly , it shows me that the closer to the centre , the more dangerous the area , with location - 1 having the most crime	what do you think of the price of location - 1 ?	None
40	just looking briefly , it shows me that the closer to the centre , the more dangerous the area , with location - 1 having the most crime	what do you think of the safety of location - 1 ?	Negative
40	just looking briefly , it shows me that the closer to the centre , the more dangerous the area , with location - 1 having the most crime	what do you think of the transit location of location - 1 ?	None
41	there are some cool places in location - 1 , too	what do you think of the general of location - 1 ?	Positive
41	there are some cool places in location - 1 , too	what do you think of the price of location - 1 ?	None
41	there are some cool places in location - 1 , too	what do you think of the safety of location - 1 ?	None
41	there are some cool places in location - 1 , too	what do you think of the transit location of location - 1 ?	None
42	there is location - 1 close by with good nightlife and opportunities	what do you think of the general of location - 1 ?	None
42	there is location - 1 close by with good nightlife and opportunities	what do you think of the price of location - 1 ?	None
42	there is location - 1 close by with good nightlife and opportunities	what do you think of the safety of location - 1 ?	None
42	there is location - 1 close by with good nightlife and opportunities	what do you think of the transit location of location - 1 ?	None
43	no , location - 1 is a lovely place	what do you think of the general of location - 1 ?	Positive
43	no , location - 1 is a lovely place	what do you think of the price of location - 1 ?	None
43	no , location - 1 is a lovely place	what do you think of the safety of location - 1 ?	None
43	no , location - 1 is a lovely place	what do you think of the transit location of location - 1 ?	None
44	location - 1 is nice but a bit pricey	what do you think of the general of location - 1 ?	Positive
44	location - 1 is nice but a bit pricey	what do you think of the price of location - 1 ?	Negative
44	location - 1 is nice but a bit pricey	what do you think of the safety of location - 1 ?	None
44	location - 1 is nice but a bit pricey	what do you think of the transit location of location - 1 ?	None
45	' '  similarly neither has the jubilee line which means the odd time you end up going half way round the world just to go two stops , making the location - 1 seem a bit cut off at times	what do you think of the general of location - 1 ?	None
45	' '  similarly neither has the jubilee line which means the odd time you end up going half way round the world just to go two stops , making the location - 1 seem a bit cut off at times	what do you think of the price of location - 1 ?	None
45	' '  similarly neither has the jubilee line which means the odd time you end up going half way round the world just to go two stops , making the location - 1 seem a bit cut off at times	what do you think of the safety of location - 1 ?	None
45	' '  similarly neither has the jubilee line which means the odd time you end up going half way round the world just to go two stops , making the location - 1 seem a bit cut off at times	what do you think of the transit location of location - 1 ?	Negative
46	even location - 1 was in surrey once same with lots of places is in greater london and has a surrey address	what do you think of the general of location - 1 ?	None
46	even location - 1 was in surrey once same with lots of places is in greater london and has a surrey address	what do you think of the price of location - 1 ?	None
46	even location - 1 was in surrey once same with lots of places is in greater london and has a surrey address	what do you think of the safety of location - 1 ?	None
46	even location - 1 was in surrey once same with lots of places is in greater london and has a surrey address	what do you think of the transit location of location - 1 ?	None
47	you have location - 1 grounds to walk around in , and are close to the river with nice pubs	what do you think of the general of location - 1 ?	None
47	you have location - 1 grounds to walk around in , and are close to the river with nice pubs	what do you think of the price of location - 1 ?	None
47	you have location - 1 grounds to walk around in , and are close to the river with nice pubs	what do you think of the safety of location - 1 ?	None
47	you have location - 1 grounds to walk around in , and are close to the river with nice pubs	what do you think of the transit location of location - 1 ?	None
48	location - 1 is known for having a great culture vibe	what do you think of the general of location - 1 ?	Positive
48	location - 1 is known for having a great culture vibe	what do you think of the price of location - 1 ?	None
48	location - 1 is known for having a great culture vibe	what do you think of the safety of location - 1 ?	None
48	location - 1 is known for having a great culture vibe	what do you think of the transit location of location - 1 ?	None
49	location - 1 is a mainly indian area but it very safe - lots of families with children	what do you think of the general of location - 1 ?	None
49	location - 1 is a mainly indian area but it very safe - lots of families with children	what do you think of the price of location - 1 ?	None
49	location - 1 is a mainly indian area but it very safe - lots of families with children	what do you think of the safety of location - 1 ?	Positive
49	location - 1 is a mainly indian area but it very safe - lots of families with children	what do you think of the transit location of location - 1 ?	None
50	next to me in location - 1 acne towers	what do you think of the general of location - 1 ?	None
50	next to me in location - 1 acne towers	what do you think of the price of location - 1 ?	None
50	next to me in location - 1 acne towers	what do you think of the safety of location - 1 ?	None
50	next to me in location - 1 acne towers	what do you think of the transit location of location - 1 ?	None
51	i would rather live in location - 1	what do you think of the general of location - 1 ?	None
51	i would rather live in location - 1	what do you think of the price of location - 1 ?	None
51	i would rather live in location - 1	what do you think of the safety of location - 1 ?	None
51	i would rather live in location - 1	what do you think of the transit location of location - 1 ?	None
52	tube : russel square , location - 2 , location - 1 , goodge street come and see our loot	what do you think of the general of location - 1 ?	None
52	tube : russel square , location - 2 , location - 1 , goodge street come and see our loot	what do you think of the price of location - 1 ?	None
52	tube : russel square , location - 2 , location - 1 , goodge street come and see our loot	what do you think of the safety of location - 1 ?	None
52	tube : russel square , location - 2 , location - 1 , goodge street come and see our loot	what do you think of the transit location of location - 1 ?	None
53	having lived in location - 1 , i think you ' ll need to stay away from the dodgier parts of it , where crime prob is rife	what do you think of the general of location - 1 ?	None
53	having lived in location - 1 , i think you ' ll need to stay away from the dodgier parts of it , where crime prob is rife	what do you think of the price of location - 1 ?	None
53	having lived in location - 1 , i think you ' ll need to stay away from the dodgier parts of it , where crime prob is rife	what do you think of the safety of location - 1 ?	Negative
53	having lived in location - 1 , i think you ' ll need to stay away from the dodgier parts of it , where crime prob is rife	what do you think of the transit location of location - 1 ?	None
54	location - 1 tube station	what do you think of the general of location - 1 ?	None
54	location - 1 tube station	what do you think of the price of location - 1 ?	None
54	location - 1 tube station	what do you think of the safety of location - 1 ?	None
54	location - 1 tube station	what do you think of the transit location of location - 1 ?	None
55	the london borough of location - 1 ( pronunciation ( helpinfo ) ) is a london borough of location - 2 , england and forms part of outer london and is one of the 32 london boroughs ( plus the london ) which forms part of greater london	what do you think of the general of location - 1 ?	None
55	the london borough of location - 1 ( pronunciation ( helpinfo ) ) is a london borough of location - 2 , england and forms part of outer london and is one of the 32 london boroughs ( plus the london ) which forms part of greater london	what do you think of the price of location - 1 ?	None
55	the london borough of location - 1 ( pronunciation ( helpinfo ) ) is a london borough of location - 2 , england and forms part of outer london and is one of the 32 london boroughs ( plus the london ) which forms part of greater london	what do you think of the safety of location - 1 ?	None
55	the london borough of location - 1 ( pronunciation ( helpinfo ) ) is a london borough of location - 2 , england and forms part of outer london and is one of the 32 london boroughs ( plus the london ) which forms part of greater london	what do you think of the transit location of location - 1 ?	None
56	you wo n' t meet many scary poor people there location - 1 is a posh area , unlike where i am	what do you think of the general of location - 1 ?	None
56	you wo n' t meet many scary poor people there location - 1 is a posh area , unlike where i am	what do you think of the price of location - 1 ?	Negative
56	you wo n' t meet many scary poor people there location - 1 is a posh area , unlike where i am	what do you think of the safety of location - 1 ?	None
56	you wo n' t meet many scary poor people there location - 1 is a posh area , unlike where i am	what do you think of the transit location of location - 1 ?	None
57	errm yeah i live in location - 1 and have never heard of such place lol perhaps you need to check your info	what do you think of the general of location - 1 ?	None
57	errm yeah i live in location - 1 and have never heard of such place lol perhaps you need to check your info	what do you think of the price of location - 1 ?	None
57	errm yeah i live in location - 1 and have never heard of such place lol perhaps you need to check your info	what do you think of the safety of location - 1 ?	None
57	errm yeah i live in location - 1 and have never heard of such place lol perhaps you need to check your info	what do you think of the transit location of location - 1 ?	None
58	location - 1 is well connected by bus and location - 1 is close by	what do you think of the general of location - 1 ?	None
58	location - 1 is well connected by bus and location - 1 is close by	what do you think of the price of location - 1 ?	None
58	location - 1 is well connected by bus and location - 1 is close by	what do you think of the safety of location - 1 ?	None
58	location - 1 is well connected by bus and location - 1 is close by	what do you think of the transit location of location - 1 ?	Positive
59	do all the walking tours about ghosts and jack the ripper , location - 1 area , you get real stories about london and famous people that live there too	what do you think of the general of location - 1 ?	None
59	do all the walking tours about ghosts and jack the ripper , location - 1 area , you get real stories about london and famous people that live there too	what do you think of the price of location - 1 ?	None
59	do all the walking tours about ghosts and jack the ripper , location - 1 area , you get real stories about london and famous people that live there too	what do you think of the safety of location - 1 ?	None
59	do all the walking tours about ghosts and jack the ripper , location - 1 area , you get real stories about london and famous people that live there too	what do you think of the transit location of location - 1 ?	None
60	tube stop is location - 1	what do you think of the general of location - 1 ?	None
60	tube stop is location - 1	what do you think of the price of location - 1 ?	None
60	tube stop is location - 1	what do you think of the safety of location - 1 ?	None
60	tube stop is location - 1	what do you think of the transit location of location - 1 ?	None
61	i really like location - 1 i lived there for 3 months and had a lot of fun	what do you think of the general of location - 1 ?	None
61	i really like location - 1 i lived there for 3 months and had a lot of fun	what do you think of the price of location - 1 ?	None
61	i really like location - 1 i lived there for 3 months and had a lot of fun	what do you think of the safety of location - 1 ?	None
61	i really like location - 1 i lived there for 3 months and had a lot of fun	what do you think of the transit location of location - 1 ?	None
62	otherwise maybe location - 1 - really nice , but maybe out of your budget	what do you think of the general of location - 1 ?	Positive
62	otherwise maybe location - 1 - really nice , but maybe out of your budget	what do you think of the price of location - 1 ?	Negative
62	otherwise maybe location - 1 - really nice , but maybe out of your budget	what do you think of the safety of location - 1 ?	None
62	otherwise maybe location - 1 - really nice , but maybe out of your budget	what do you think of the transit location of location - 1 ?	None
63	avoid location - 1 - it ' s dirty , dangerous and grim	what do you think of the general of location - 1 ?	Negative
63	avoid location - 1 - it ' s dirty , dangerous and grim	what do you think of the price of location - 1 ?	None
63	avoid location - 1 - it ' s dirty , dangerous and grim	what do you think of the safety of location - 1 ?	Negative
63	avoid location - 1 - it ' s dirty , dangerous and grim	what do you think of the transit location of location - 1 ?	None
64	if you do n' t have a lot of budget , you could flat share in location - 1 as it is quite expensive	what do you think of the general of location - 1 ?	None
64	if you do n' t have a lot of budget , you could flat share in location - 1 as it is quite expensive	what do you think of the price of location - 1 ?	Negative
64	if you do n' t have a lot of budget , you could flat share in location - 1 as it is quite expensive	what do you think of the safety of location - 1 ?	None
64	if you do n' t have a lot of budget , you could flat share in location - 1 as it is quite expensive	what do you think of the transit location of location - 1 ?	None
65	then again your perception of how nice an area is depends on where you ' re moving from i love location - 1 and always feel safe there ; it ' s one of my favourite areas	what do you think of the general of location - 1 ?	Positive
65	then again your perception of how nice an area is depends on where you ' re moving from i love location - 1 and always feel safe there ; it ' s one of my favourite areas	what do you think of the price of location - 1 ?	None
65	then again your perception of how nice an area is depends on where you ' re moving from i love location - 1 and always feel safe there ; it ' s one of my favourite areas	what do you think of the safety of location - 1 ?	Positive
65	then again your perception of how nice an area is depends on where you ' re moving from i love location - 1 and always feel safe there ; it ' s one of my favourite areas	what do you think of the transit location of location - 1 ?	None
66	location - 1 road is quite a long road	what do you think of the general of location - 1 ?	None
66	location - 1 road is quite a long road	what do you think of the price of location - 1 ?	None
66	location - 1 road is quite a long road	what do you think of the safety of location - 1 ?	None
66	location - 1 road is quite a long road	what do you think of the transit location of location - 1 ?	None
67	out in the counties for me location - 1 itself is a lovely area to live , my nans lived there for 30 years and i spend much of my child their	what do you think of the general of location - 1 ?	None
67	out in the counties for me location - 1 itself is a lovely area to live , my nans lived there for 30 years and i spend much of my child their	what do you think of the price of location - 1 ?	None
67	out in the counties for me location - 1 itself is a lovely area to live , my nans lived there for 30 years and i spend much of my child their	what do you think of the safety of location - 1 ?	None
