id	original_sentence	auxiliary_sentence	label_id	label
583	For those that go once and don't enjoy it, all I can say is that they just don't get it.	what do you think of the ambience of it ?	4	none
583	For those that go once and don't enjoy it, all I can say is that they just don't get it.	what do you think of the service of it ?	4	none
2846	Not only was the food outstanding, but the little 'perks' were great.	what do you think of the price of it ?	4	none
2846	Not only was the food outstanding, but the little 'perks' were great.	what do you think of the anecdotes of it ?	4	none
2846	Not only was the food outstanding, but the little 'perks' were great.	what do you think of the food of it ?	0	positive
2846	Not only was the food outstanding, but the little 'perks' were great.	what do you think of the ambience of it ?	4	none
2846	Not only was the food outstanding, but the little 'perks' were great.	what do you think of the service of it ?	0	positive
1571	It is very overpriced and not very tasty.	what do you think of the price of it ?	2	negative
1571	It is very overpriced and not very tasty.	what do you think of the anecdotes of it ?	4	none
1571	It is very overpriced and not very tasty.	what do you think of the food of it ?	2	negative
1571	It is very overpriced and not very tasty.	what do you think of the ambience of it ?	4	none
1571	It is very overpriced and not very tasty.	what do you think of the service of it ?	4	none
1458	Our agreed favorite is the orrechiete with sausage and chicken (usually the waiters are kind enough to split the dish in half so you get to sample both meats).	what do you think of the price of it ?	4	none
1458	Our agreed favorite is the orrechiete with sausage and chicken (usually the waiters are kind enough to split the dish in half so you get to sample both meats).	what do you think of the anecdotes of it ?	4	none
1458	Our agreed favorite is the orrechiete with sausage and chicken (usually the waiters are kind enough to split the dish in half so you get to sample both meats).	what do you think of the food of it ?	0	positive
1458	Our agreed favorite is the orrechiete with sausage and chicken (usually the waiters are kind enough to split the dish in half so you get to sample both meats).	what do you think of the ambience of it ?	4	none
1458	Our agreed favorite is the orrechiete with sausage and chicken (usually the waiters are kind enough to split the dish in half so you get to sample both meats).	what do you think of the service of it ?	0	positive
3161	The Bagels have an outstanding taste with a terrific texture, both chewy yet not gummy.	what do you think of the price of it ?	4	none
3161	The Bagels have an outstanding taste with a terrific texture, both chewy yet not gummy.	what do you think of the anecdotes of it ?	4	none
3161	The Bagels have an outstanding taste with a terrific texture, both chewy yet not gummy.	what do you think of the food of it ?	0	positive
3161	The Bagels have an outstanding taste with a terrific texture, both chewy yet not gummy.	what do you think of the ambience of it ?	4	none
3161	The Bagels have an outstanding taste with a terrific texture, both chewy yet not gummy.	what do you think of the service of it ?	4	none
2391	Nevertheless the food itself is pretty good.	what do you think of the price of it ?	4	none
2391	Nevertheless the food itself is pretty good.	what do you think of the anecdotes of it ?	4	none
2391	Nevertheless the food itself is pretty good.	what do you think of the food of it ?	0	positive
2391	Nevertheless the food itself is pretty good.	what do you think of the ambience of it ?	4	none
2391	Nevertheless the food itself is pretty good.	what do you think of the service of it ?	4	none
986	i've noticed megadeth, mr. scruff, st. germain, traditional vietnamese songs, black sabbath, jay-z, and daft punk all being played.	what do you think of the price of it ?	4	none
986	i've noticed megadeth, mr. scruff, st. germain, traditional vietnamese songs, black sabbath, jay-z, and daft punk all being played.	what do you think of the anecdotes of it ?	4	none
986	i've noticed megadeth, mr. scruff, st. germain, traditional vietnamese songs, black sabbath, jay-z, and daft punk all being played.	what do you think of the food of it ?	4	none
986	i've noticed megadeth, mr. scruff, st. germain, traditional vietnamese songs, black sabbath, jay-z, and daft punk all being played.	what do you think of the ambience of it ?	1	neutral
986	i've noticed megadeth, mr. scruff, st. germain, traditional vietnamese songs, black sabbath, jay-z, and daft punk all being played.	what do you think of the service of it ?	4	none
296	They did not have mayonnaise, forgot our toast, left out ingredients (ie cheese in an omelet), below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it.	what do you think of the price of it ?	4	none
296	They did not have mayonnaise, forgot our toast, left out ingredients (ie cheese in an omelet), below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it.	what do you think of the anecdotes of it ?	4	none
296	They did not have mayonnaise, forgot our toast, left out ingredients (ie cheese in an omelet), below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it.	what do you think of the food of it ?	2	negative
296	They did not have mayonnaise, forgot our toast, left out ingredients (ie cheese in an omelet), below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it.	what do you think of the ambience of it ?	4	none
296	They did not have mayonnaise, forgot our toast, left out ingredients (ie cheese in an omelet), below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it.	what do you think of the service of it ?	4	none
1793	It took half an hour to get our check, which was perfect since we could sit, have drinks and talk!	what do you think of the price of it ?	4	none
1793	It took half an hour to get our check, which was perfect since we could sit, have drinks and talk!	what do you think of the anecdotes of it ?	4	none
1793	It took half an hour to get our check, which was perfect since we could sit, have drinks and talk!	what do you think of the food of it ?	4	none
1793	It took half an hour to get our check, which was perfect since we could sit, have drinks and talk!	what do you think of the ambience of it ?	4	none
1793	It took half an hour to get our check, which was perfect since we could sit, have drinks and talk!	what do you think of the service of it ?	3	conflict
2200	The design and atmosphere is just as good.	what do you think of the price of it ?	4	none
2200	The design and atmosphere is just as good.	what do you think of the anecdotes of it ?	4	none
2200	The design and atmosphere is just as good.	what do you think of the food of it ?	4	none
2200	The design and atmosphere is just as good.	what do you think of the ambience of it ?	0	positive
2200	The design and atmosphere is just as good.	what do you think of the service of it ?	4	none
3195	He has visited Thailand and is quite expert on the cuisine.	what do you think of the price of it ?	4	none
3195	He has visited Thailand and is quite expert on the cuisine.	what do you think of the anecdotes of it ?	4	none
3195	He has visited Thailand and is quite expert on the cuisine.	what do you think of the food of it ?	0	positive
3195	He has visited Thailand and is quite expert on the cuisine.	what do you think of the ambience of it ?	4	none
3195	He has visited Thailand and is quite expert on the cuisine.	what do you think of the service of it ?	4	none
3119	I would definitely recommend Mary's and am making it one of my regular neighborhood haunts.	what do you think of the price of it ?	4	none
3119	I would definitely recommend Mary's and am making it one of my regular neighborhood haunts.	what do you think of the anecdotes of it ?	0	positive
3119	I would definitely recommend Mary's and am making it one of my regular neighborhood haunts.	what do you think of the food of it ?	4	none
3119	I would definitely recommend Mary's and am making it one of my regular neighborhood haunts.	what do you think of the ambience of it ?	4	none
3119	I would definitely recommend Mary's and am making it one of my regular neighborhood haunts.	what do you think of the service of it ?	4	none
3359	The pizza is the best if you like thin crusted pizza.	what do you think of the price of it ?	4	none
3359	The pizza is the best if you like thin crusted pizza.	what do you think of the anecdotes of it ?	4	none
3359	The pizza is the best if you like thin crusted pizza.	what do you think of the food of it ?	0	positive
3359	The pizza is the best if you like thin crusted pizza.	what do you think of the ambience of it ?	4	none
3359	The pizza is the best if you like thin crusted pizza.	what do you think of the service of it ?	4	none
70	My Girlfriend and I stumbled onto this hopping place the other night and had a great time!	what do you think of the price of it ?	4	none
70	My Girlfriend and I stumbled onto this hopping place the other night and had a great time!	what do you think of the anecdotes of it ?	0	positive
70	My Girlfriend and I stumbled onto this hopping place the other night and had a great time!	what do you think of the food of it ?	4	none
70	My Girlfriend and I stumbled onto this hopping place the other night and had a great time!	what do you think of the ambience of it ?	4	none
70	My Girlfriend and I stumbled onto this hopping place the other night and had a great time!	what do you think of the service of it ?	4	none
1829	He can't help, they're bought up so fast.	what do you think of the price of it ?	4	none
1829	He can't help, they're bought up so fast.	what do you think of the anecdotes of it ?	1	neutral
1829	He can't help, they're bought up so fast.	what do you think of the food of it ?	4	none
1829	He can't help, they're bought up so fast.	what do you think of the ambience of it ?	4	none
1829	He can't help, they're bought up so fast.	what do you think of the service of it ?	4	none
2935	Secondly, on this night the place was overwhelmed by upper east side ladies perfume.	what do you think of the price of it ?	4	none
2935	Secondly, on this night the place was overwhelmed by upper east side ladies perfume.	what do you think of the anecdotes of it ?	4	none
2935	Secondly, on this night the place was overwhelmed by upper east side ladies perfume.	what do you think of the food of it ?	4	none
2935	Secondly, on this night the place was overwhelmed by upper east side ladies perfume.	what do you think of the ambience of it ?	2	negative
2935	Secondly, on this night the place was overwhelmed by upper east side ladies perfume.	what do you think of the service of it ?	4	none
1805	i have eaten here a handful of times, for no reason besides sheer convenience.	what do you think of the price of it ?	4	none
1805	i have eaten here a handful of times, for no reason besides sheer convenience.	what do you think of the anecdotes of it ?	1	neutral
1805	i have eaten here a handful of times, for no reason besides sheer convenience.	what do you think of the food of it ?	4	none
1805	i have eaten here a handful of times, for no reason besides sheer convenience.	what do you think of the ambience of it ?	4	none
1805	i have eaten here a handful of times, for no reason besides sheer convenience.	what do you think of the service of it ?	4	none
2559	Obviously run by folks who know a pie.	what do you think of the price of it ?	4	none
2559	Obviously run by folks who know a pie.	what do you think of the anecdotes of it ?	4	none
2559	Obviously run by folks who know a pie.	what do you think of the food of it ?	4	none
2559	Obviously run by folks who know a pie.	what do you think of the ambience of it ?	4	none
2559	Obviously run by folks who know a pie.	what do you think of the service of it ?	0	positive
716	We were very disappointed.	what do you think of the price of it ?	4	none
716	We were very disappointed.	what do you think of the anecdotes of it ?	2	negative
716	We were very disappointed.	what do you think of the food of it ?	4	none
716	We were very disappointed.	what do you think of the ambience of it ?	4	none
716	We were very disappointed.	what do you think of the service of it ?	4	none
2464	IT IS DEFINITELY SPECIAL AND AFFORDABLE.	what do you think of the price of it ?	0	positive
2464	IT IS DEFINITELY SPECIAL AND AFFORDABLE.	what do you think of the anecdotes of it ?	0	positive
2464	IT IS DEFINITELY SPECIAL AND AFFORDABLE.	what do you think of the food of it ?	4	none
2464	IT IS DEFINITELY SPECIAL AND AFFORDABLE.	what do you think of the ambience of it ?	4	none
2464	IT IS DEFINITELY SPECIAL AND AFFORDABLE.	what do you think of the service of it ?	4	none
385	I really liked this place.	what do you think of the price of it ?	4	none
385	I really liked this place.	what do you think of the anecdotes of it ?	0	positive
385	I really liked this place.	what do you think of the food of it ?	4	none
385	I really liked this place.	what do you think of the ambience of it ?	4	none
385	I really liked this place.	what do you think of the service of it ?	4	none
1350	I will be going back very soon.	what do you think of the price of it ?	4	none
1350	I will be going back very soon.	what do you think of the anecdotes of it ?	0	positive
1350	I will be going back very soon.	what do you think of the food of it ?	4	none
1350	I will be going back very soon.	what do you think of the ambience of it ?	4	none
1350	I will be going back very soon.	what do you think of the service of it ?	4	none
3534	All the money went into the interior decoration, none of it went to the chefs.	what do you think of the price of it ?	4	none
3534	All the money went into the interior decoration, none of it went to the chefs.	what do you think of the anecdotes of it ?	4	none
3534	All the money went into the interior decoration, none of it went to the chefs.	what do you think of the food of it ?	2	negative
3534	All the money went into the interior decoration, none of it went to the chefs.	what do you think of the ambience of it ?	0	positive
3534	All the money went into the interior decoration, none of it went to the chefs.	what do you think of the service of it ?	4	none
1407	The seats are uncomfortable if you are sitting against the wall on wooden benches.	what do you think of the price of it ?	4	none
1407	The seats are uncomfortable if you are sitting against the wall on wooden benches.	what do you think of the anecdotes of it ?	4	none
1407	The seats are uncomfortable if you are sitting against the wall on wooden benches.	what do you think of the food of it ?	4	none
1407	The seats are uncomfortable if you are sitting against the wall on wooden benches.	what do you think of the ambience of it ?	2	negative
1407	The seats are uncomfortable if you are sitting against the wall on wooden benches.	what do you think of the service of it ?	4	none
565	I asked for seltzer with lime, no ice.	what do you think of the price of it ?	4	none
565	I asked for seltzer with lime, no ice.	what do you think of the anecdotes of it ?	4	none
565	I asked for seltzer with lime, no ice.	what do you think of the food of it ?	1	neutral
565	I asked for seltzer with lime, no ice.	what do you think of the ambience of it ?	4	none
565	I asked for seltzer with lime, no ice.	what do you think of the service of it ?	4	none
387	It was pretty inexpensive too.	what do you think of the price of it ?	0	positive
387	It was pretty inexpensive too.	what do you think of the anecdotes of it ?	4	none
387	It was pretty inexpensive too.	what do you think of the food of it ?	4	none
387	It was pretty inexpensive too.	what do you think of the ambience of it ?	4	none
387	It was pretty inexpensive too.	what do you think of the service of it ?	4	none
1314	Will not be back.	what do you think of the price of it ?	4	none
1314	Will not be back.	what do you think of the anecdotes of it ?	2	negative
1314	Will not be back.	what do you think of the food of it ?	4	none
1314	Will not be back.	what do you think of the ambience of it ?	4	none
1314	Will not be back.	what do you think of the service of it ?	4	none
675	Don't go alone---even two people isn't enough for the whole experience, with pickles and a selection of meats and seafoods.	what do you think of the price of it ?	4	none
675	Don't go alone---even two people isn't enough for the whole experience, with pickles and a selection of meats and seafoods.	what do you think of the anecdotes of it ?	4	none
675	Don't go alone---even two people isn't enough for the whole experience, with pickles and a selection of meats and seafoods.	what do you think of the food of it ?	0	positive
675	Don't go alone---even two people isn't enough for the whole experience, with pickles and a selection of meats and seafoods.	what do you think of the ambience of it ?	4	none
675	Don't go alone---even two people isn't enough for the whole experience, with pickles and a selection of meats and seafoods.	what do you think of the service of it ?	4	none
2227	My suggestion is to eat family style because you'll want to try the other dishes.	what do you think of the price of it ?	4	none
2227	My suggestion is to eat family style because you'll want to try the other dishes.	what do you think of the anecdotes of it ?	4	none
2227	My suggestion is to eat family style because you'll want to try the other dishes.	what do you think of the food of it ?	1	neutral
2227	My suggestion is to eat family style because you'll want to try the other dishes.	what do you think of the ambience of it ?	4	none
2227	My suggestion is to eat family style because you'll want to try the other dishes.	what do you think of the service of it ?	4	none
3367	Best of all is the warm vibe, the owner is super friendly and service is fast.	what do you think of the price of it ?	4	none
3367	Best of all is the warm vibe, the owner is super friendly and service is fast.	what do you think of the anecdotes of it ?	4	none
3367	Best of all is the warm vibe, the owner is super friendly and service is fast.	what do you think of the food of it ?	4	none
3367	Best of all is the warm vibe, the owner is super friendly and service is fast.	what do you think of the ambience of it ?	0	positive
3367	Best of all is the warm vibe, the owner is super friendly and service is fast.	what do you think of the service of it ?	0	positive
1210	This isn't a value joint.	what do you think of the price of it ?	2	negative
1210	This isn't a value joint.	what do you think of the anecdotes of it ?	4	none
1210	This isn't a value joint.	what do you think of the food of it ?	4	none
1210	This isn't a value joint.	what do you think of the ambience of it ?	4	none
1210	This isn't a value joint.	what do you think of the service of it ?	4	none
2191	Faan's got a great concept but a little rough on the delivery.	what do you think of the price of it ?	4	none
2191	Faan's got a great concept but a little rough on the delivery.	what do you think of the anecdotes of it ?	0	positive
2191	Faan's got a great concept but a little rough on the delivery.	what do you think of the food of it ?	4	none
2191	Faan's got a great concept but a little rough on the delivery.	what do you think of the ambience of it ?	4	none
2191	Faan's got a great concept but a little rough on the delivery.	what do you think of the service of it ?	2	negative
270	From the incredible food, to the warm atmosphere, to the friendly service, this downtown neighborhood spot doesn't miss a beat.	what do you think of the price of it ?	4	none
270	From the incredible food, to the warm atmosphere, to the friendly service, this downtown neighborhood spot doesn't miss a beat.	what do you think of the anecdotes of it ?	4	none
270	From the incredible food, to the warm atmosphere, to the friendly service, this downtown neighborhood spot doesn't miss a beat.	what do you think of the food of it ?	0	positive
270	From the incredible food, to the warm atmosphere, to the friendly service, this downtown neighborhood spot doesn't miss a beat.	what do you think of the ambience of it ?	0	positive
270	From the incredible food, to the warm atmosphere, to the friendly service, this downtown neighborhood spot doesn't miss a beat.	what do you think of the service of it ?	0	positive
638	Great food at REASONABLE prices, makes for an evening that can't be beat!	what do you think of the price of it ?	0	positive
638	Great food at REASONABLE prices, makes for an evening that can't be beat!	what do you think of the anecdotes of it ?	4	none
638	Great food at REASONABLE prices, makes for an evening that can't be beat!	what do you think of the food of it ?	0	positive
638	Great food at REASONABLE prices, makes for an evening that can't be beat!	what do you think of the ambience of it ?	4	none
638	Great food at REASONABLE prices, makes for an evening that can't be beat!	what do you think of the service of it ?	4	none
500	Look foward to trying the Ruben upon returning.	what do you think of the price of it ?	4	none
500	Look foward to trying the Ruben upon returning.	what do you think of the anecdotes of it ?	0	positive
500	Look foward to trying the Ruben upon returning.	what do you think of the food of it ?	4	none
500	Look foward to trying the Ruben upon returning.	what do you think of the ambience of it ?	4	none
500	Look foward to trying the Ruben upon returning.	what do you think of the service of it ?	4	none
1108	The only other steakhouse that seems to hold a candle to Roth's is the Strip House.	what do you think of the price of it ?	4	none
1108	The only other steakhouse that seems to hold a candle to Roth's is the Strip House.	what do you think of the anecdotes of it ?	1	neutral
1108	The only other steakhouse that seems to hold a candle to Roth's is the Strip House.	what do you think of the food of it ?	4	none
1108	The only other steakhouse that seems to hold a candle to Roth's is the Strip House.	what do you think of the ambience of it ?	4	none
1108	The only other steakhouse that seems to hold a candle to Roth's is the Strip House.	what do you think of the service of it ?	4	none
3294	We usually go to the Chart House to celebrate a birthday or anniversary.	what do you think of the price of it ?	4	none
3294	We usually go to the Chart House to celebrate a birthday or anniversary.	what do you think of the anecdotes of it ?	1	neutral
3294	We usually go to the Chart House to celebrate a birthday or anniversary.	what do you think of the food of it ?	4	none
3294	We usually go to the Chart House to celebrate a birthday or anniversary.	what do you think of the ambience of it ?	4	none
3294	We usually go to the Chart House to celebrate a birthday or anniversary.	what do you think of the service of it ?	4	none
388	this little place has a cute interior decor and affordable city prices.	what do you think of the price of it ?	0	positive
388	this little place has a cute interior decor and affordable city prices.	what do you think of the anecdotes of it ?	4	none
388	this little place has a cute interior decor and affordable city prices.	what do you think of the food of it ?	4	none
388	this little place has a cute interior decor and affordable city prices.	what do you think of the ambience of it ?	0	positive
388	this little place has a cute interior decor and affordable city prices.	what do you think of the service of it ?	4	none
3070	You'll adore it.	what do you think of the price of it ?	4	none
3070	You'll adore it.	what do you think of the anecdotes of it ?	0	positive
3070	You'll adore it.	what do you think of the food of it ?	4	none
3070	You'll adore it.	what do you think of the ambience of it ?	4	none
3070	You'll adore it.	what do you think of the service of it ?	4	none
3373	Two words: Free wine.	what do you think of the price of it ?	0	positive
3373	Two words: Free wine.	what do you think of the anecdotes of it ?	4	none
3373	Two words: Free wine.	what do you think of the food of it ?	4	none
3373	Two words: Free wine.	what do you think of the ambience of it ?	4	none
3373	Two words: Free wine.	what do you think of the service of it ?	4	none
425	The price is reasonable although the service is poor.	what do you think of the price of it ?	0	positive
425	The price is reasonable although the service is poor.	what do you think of the anecdotes of it ?	4	none
425	The price is reasonable although the service is poor.	what do you think of the food of it ?	4	none
425	The price is reasonable although the service is poor.	what do you think of the ambience of it ?	4	none
425	The price is reasonable although the service is poor.	what do you think of the service of it ?	2	negative
3192	The quantity is also very good, you will come out satisfied.	what do you think of the price of it ?	4	none
3192	The quantity is also very good, you will come out satisfied.	what do you think of the anecdotes of it ?	4	none
3192	The quantity is also very good, you will come out satisfied.	what do you think of the food of it ?	0	positive
3192	The quantity is also very good, you will come out satisfied.	what do you think of the ambience of it ?	4	none
3192	The quantity is also very good, you will come out satisfied.	what do you think of the service of it ?	4	none
1098	I have been to Roth's twice and both times were very disappointing.	what do you think of the price of it ?	4	none
1098	I have been to Roth's twice and both times were very disappointing.	what do you think of the anecdotes of it ?	2	negative
1098	I have been to Roth's twice and both times were very disappointing.	what do you think of the food of it ?	4	none
1098	I have been to Roth's twice and both times were very disappointing.	what do you think of the ambience of it ?	4	none
1098	I have been to Roth's twice and both times were very disappointing.	what do you think of the service of it ?	4	none
2173	Worth visiting the 1st Ave spot because it is the original store.	what do you think of the price of it ?	4	none
2173	Worth visiting the 1st Ave spot because it is the original store.	what do you think of the anecdotes of it ?	0	positive
2173	Worth visiting the 1st Ave spot because it is the original store.	what do you think of the food of it ?	4	none
2173	Worth visiting the 1st Ave spot because it is the original store.	what do you think of the ambience of it ?	4	none
2173	Worth visiting the 1st Ave spot because it is the original store.	what do you think of the service of it ?	4	none
391	I stumbled upon this second floor walk-up two Fridays ago when I was with two friends in town from L.A. Being serious sushi lovers, we sat at the sushi bar to be closer to the action.	what do you think of the price of it ?	4	none
391	I stumbled upon this second floor walk-up two Fridays ago when I was with two friends in town from L.A. Being serious sushi lovers, we sat at the sushi bar to be closer to the action.	what do you think of the anecdotes of it ?	1	neutral
391	I stumbled upon this second floor walk-up two Fridays ago when I was with two friends in town from L.A. Being serious sushi lovers, we sat at the sushi bar to be closer to the action.	what do you think of the food of it ?	4	none
391	I stumbled upon this second floor walk-up two Fridays ago when I was with two friends in town from L.A. Being serious sushi lovers, we sat at the sushi bar to be closer to the action.	what do you think of the ambience of it ?	4	none
391	I stumbled upon this second floor walk-up two Fridays ago when I was with two friends in town from L.A. Being serious sushi lovers, we sat at the sushi bar to be closer to the action.	what do you think of the service of it ?	4	none
263	Raga's is a romantic, cozy restaurant.	what do you think of the price of it ?	4	none
263	Raga's is a romantic, cozy restaurant.	what do you think of the anecdotes of it ?	4	none
263	Raga's is a romantic, cozy restaurant.	what do you think of the food of it ?	4	none
263	Raga's is a romantic, cozy restaurant.	what do you think of the ambience of it ?	0	positive
263	Raga's is a romantic, cozy restaurant.	what do you think of the service of it ?	4	none
2384	The fried rice is amazing here.	what do you think of the price of it ?	4	none
2384	The fried rice is amazing here.	what do you think of the anecdotes of it ?	4	none
2384	The fried rice is amazing here.	what do you think of the food of it ?	0	positive
2384	The fried rice is amazing here.	what do you think of the ambience of it ?	4	none
2384	The fried rice is amazing here.	what do you think of the service of it ?	4	none
2962	Three courses - choices include excellent mussels, puff pastry goat cheese and salad with a delicious dressing, and a hanger steak au poivre that is out of this world.	what do you think of the price of it ?	4	none
2962	Three courses - choices include excellent mussels, puff pastry goat cheese and salad with a delicious dressing, and a hanger steak au poivre that is out of this world.	what do you think of the anecdotes of it ?	4	none
2962	Three courses - choices include excellent mussels, puff pastry goat cheese and salad with a delicious dressing, and a hanger steak au poivre that is out of this world.	what do you think of the food of it ?	0	positive
2962	Three courses - choices include excellent mussels, puff pastry goat cheese and salad with a delicious dressing, and a hanger steak au poivre that is out of this world.	what do you think of the ambience of it ?	4	none
2962	Three courses - choices include excellent mussels, puff pastry goat cheese and salad with a delicious dressing, and a hanger steak au poivre that is out of this world.	what do you think of the service of it ?	4	none
3404	it's a perfect place to have a amanzing indian food.	what do you think of the price of it ?	4	none
3404	it's a perfect place to have a amanzing indian food.	what do you think of the anecdotes of it ?	4	none
3404	it's a perfect place to have a amanzing indian food.	what do you think of the food of it ?	0	positive
3404	it's a perfect place to have a amanzing indian food.	what do you think of the ambience of it ?	4	none
3404	it's a perfect place to have a amanzing indian food.	what do you think of the service of it ?	4	none
2599	The place is so cool and the service is prompt and curtious.	what do you think of the price of it ?	4	none
2599	The place is so cool and the service is prompt and curtious.	what do you think of the anecdotes of it ?	4	none
2599	The place is so cool and the service is prompt and curtious.	what do you think of the food of it ?	4	none
2599	The place is so cool and the service is prompt and curtious.	what do you think of the ambience of it ?	0	positive
2599	The place is so cool and the service is prompt and curtious.	what do you think of the service of it ?	0	positive
673	At the end you're left with a mild broth with noodles that you can slurp out of a cup.	what do you think of the price of it ?	4	none
673	At the end you're left with a mild broth with noodles that you can slurp out of a cup.	what do you think of the anecdotes of it ?	4	none
673	At the end you're left with a mild broth with noodles that you can slurp out of a cup.	what do you think of the food of it ?	0	positive
673	At the end you're left with a mild broth with noodles that you can slurp out of a cup.	what do you think of the ambience of it ?	4	none
673	At the end you're left with a mild broth with noodles that you can slurp out of a cup.	what do you think of the service of it ?	4	none
648	I just wonder how you can have such a delicious meal for such little money.	what do you think of the price of it ?	0	positive
648	I just wonder how you can have such a delicious meal for such little money.	what do you think of the anecdotes of it ?	4	none
648	I just wonder how you can have such a delicious meal for such little money.	what do you think of the food of it ?	0	positive
648	I just wonder how you can have such a delicious meal for such little money.	what do you think of the ambience of it ?	4	none
648	I just wonder how you can have such a delicious meal for such little money.	what do you think of the service of it ?	4	none
863	The food was delicious but do not come here on a empty stomach.	what do you think of the price of it ?	4	none
863	The food was delicious but do not come here on a empty stomach.	what do you think of the anecdotes of it ?	4	none
863	The food was delicious but do not come here on a empty stomach.	what do you think of the food of it ?	3	conflict
863	The food was delicious but do not come here on a empty stomach.	what do you think of the ambience of it ?	4	none
863	The food was delicious but do not come here on a empty stomach.	what do you think of the service of it ?	4	none
1623	The wine list is excellent.	what do you think of the price of it ?	4	none
1623	The wine list is excellent.	what do you think of the anecdotes of it ?	4	none
1623	The wine list is excellent.	what do you think of the food of it ?	0	positive
1623	The wine list is excellent.	what do you think of the ambience of it ?	4	none
1623	The wine list is excellent.	what do you think of the service of it ?	4	none
2177	so garantuan that you can't fit them in a toaster.	what do you think of the price of it ?	4	none
2177	so garantuan that you can't fit them in a toaster.	what do you think of the anecdotes of it ?	4	none
2177	so garantuan that you can't fit them in a toaster.	what do you think of the food of it ?	0	positive
2177	so garantuan that you can't fit them in a toaster.	what do you think of the ambience of it ?	4	none
2177	so garantuan that you can't fit them in a toaster.	what do you think of the service of it ?	4	none
430	Ive been to many Thai restaurants in Manhattan before, and Toons is by far the best Thai food Ive had (except for my mom's of course).	what do you think of the price of it ?	4	none
430	Ive been to many Thai restaurants in Manhattan before, and Toons is by far the best Thai food Ive had (except for my mom's of course).	what do you think of the anecdotes of it ?	4	none
430	Ive been to many Thai restaurants in Manhattan before, and Toons is by far the best Thai food Ive had (except for my mom's of course).	what do you think of the food of it ?	0	positive
430	Ive been to many Thai restaurants in Manhattan before, and Toons is by far the best Thai food Ive had (except for my mom's of course).	what do you think of the ambience of it ?	4	none
430	Ive been to many Thai restaurants in Manhattan before, and Toons is by far the best Thai food Ive had (except for my mom's of course).	what do you think of the service of it ?	4	none
1101	They wouldnt even let me finish my glass of wine before offering another.	what do you think of the price of it ?	4	none
1101	They wouldnt even let me finish my glass of wine before offering another.	what do you think of the anecdotes of it ?	4	none
1101	They wouldnt even let me finish my glass of wine before offering another.	what do you think of the food of it ?	4	none
1101	They wouldnt even let me finish my glass of wine before offering another.	what do you think of the ambience of it ?	4	none
1101	They wouldnt even let me finish my glass of wine before offering another.	what do you think of the service of it ?	0	positive
